Time,Frequency,Resistance
25/11/2020 15:42:58.837797,5009654,387.02
25/11/2020 15:42:59.869984,5009653.7,387.02
25/11/2020 15:43:0.903338,5009653.6,387.03
25/11/2020 15:43:1.936839,5009653.4,387.02
25/11/2020 15:43:2.970099,5009653.3,387.03
25/11/2020 15:43:4.3508,5009653.1,386.99
25/11/2020 15:43:5.36799,5009653.1,386.98
25/11/2020 15:43:6.70235,5009653,387
25/11/2020 15:43:7.101903,5009652.7,387
25/11/2020 15:43:8.133806,5009652.4,387.02
25/11/2020 15:43:9.166665,5009652.4,387.02
25/11/2020 15:43:10.198088,5009652.3,386.99
25/11/2020 15:43:11.230052,5009652.1,386.98
25/11/2020 15:43:12.262624,5009651.8,387
25/11/2020 15:43:13.294214,5009651.7,387
25/11/2020 15:43:14.327274,5009651.7,387.01
25/11/2020 15:43:15.359897,5009651.7,387.01
25/11/2020 15:43:16.391178,5009651.6,387.01
25/11/2020 15:43:17.424580,5009651.5,387.01
25/11/2020 15:43:18.457166,5009651.3,387.03
25/11/2020 15:43:19.489668,5009651.1,387.02
25/11/2020 15:43:20.522971,5009651.1,387.02
25/11/2020 15:43:21.555948,5009651,387.01
25/11/2020 15:43:22.586723,5009650.9,387.01
25/11/2020 15:43:23.619265,5009650.8,387.02
25/11/2020 15:43:24.650654,5009650.7,387
25/11/2020 15:43:25.685434,5009650.7,387
25/11/2020 15:43:26.716712,5009650.6,387
25/11/2020 15:43:27.748148,5009650.4,387.01
25/11/2020 15:43:28.780469,5009650.3,387
25/11/2020 15:43:29.812827,5009650.3,387
25/11/2020 15:43:30.845229,5009650.1,387.01
25/11/2020 15:43:31.876458,5009650.1,387.01
25/11/2020 15:43:32.908885,5009650,387
25/11/2020 15:43:33.941023,5009649.9,387
25/11/2020 15:43:34.972585,5009649.8,387
25/11/2020 15:43:36.4864,5009649.8,387
25/11/2020 15:43:37.36361,5009649.7,387
25/11/2020 15:43:38.68669,5009649.6,387
25/11/2020 15:43:39.101003,5009649.4,387
25/11/2020 15:43:40.133538,5009649.4,387
25/11/2020 15:43:41.165011,5009649.4,387
25/11/2020 15:43:42.197156,5009649.3,386.99
25/11/2020 15:43:43.228697,5009649.2,386.98
25/11/2020 15:43:44.260570,5009649.1,386.98
25/11/2020 15:43:45.293013,5009649.1,386.98
25/11/2020 15:43:46.325434,5009649.1,386.97
25/11/2020 15:43:47.357471,5009649,386.97
25/11/2020 15:43:48.389633,5009648.9,386.98
25/11/2020 15:43:49.420671,5009648.9,386.97
25/11/2020 15:43:50.453105,5009648.7,386.97
25/11/2020 15:43:51.490266,5009648.6,386.96
25/11/2020 15:43:52.522808,5009648.6,386.96
25/11/2020 15:43:53.555149,5009648.5,386.97
25/11/2020 15:43:54.587432,5009648.4,386.96
25/11/2020 15:43:55.619551,5009648.3,386.97
25/11/2020 15:43:56.651385,5009648.3,386.96
25/11/2020 15:43:57.682624,5009648.2,386.97
25/11/2020 15:43:58.714829,5009648.1,386.96
25/11/2020 15:43:59.745854,5009648.1,386.97
25/11/2020 15:44:0.778164,5009648,386.96
25/11/2020 15:44:1.810549,5009648,386.96
25/11/2020 15:44:2.842874,5009647.9,386.96
25/11/2020 15:44:3.875149,5009647.8,386.95
25/11/2020 15:44:4.907474,5009647.6,386.95
25/11/2020 15:44:5.938922,5009647.6,386.94
25/11/2020 15:44:6.970483,5009647.5,386.94
25/11/2020 15:44:8.1392,5009647.4,386.94
25/11/2020 15:44:9.33968,5009647.4,386.95
25/11/2020 15:44:10.65978,5009647.3,386.95
25/11/2020 15:44:11.97830,5009647.2,386.95
25/11/2020 15:44:12.129954,5009647.1,386.96
25/11/2020 15:44:13.162298,5009647.1,386.96
25/11/2020 15:44:14.194481,5009647.1,386.95
25/11/2020 15:44:15.225986,5009647,386.95
25/11/2020 15:44:16.257756,5009647,386.95
25/11/2020 15:44:17.290199,5009647,386.94
25/11/2020 15:44:18.322564,5009646.9,386.94
25/11/2020 15:44:19.354907,5009646.9,386.94
25/11/2020 15:44:20.387260,5009646.9,386.93
25/11/2020 15:44:21.419670,5009646.8,386.92
25/11/2020 15:44:22.451889,5009646.8,386.92
25/11/2020 15:44:23.484321,5009646.7,386.92
25/11/2020 15:44:24.516560,5009646.6,386.93
25/11/2020 15:44:25.547913,5009646.6,386.94
25/11/2020 15:44:26.579800,5009646.6,386.95
25/11/2020 15:44:27.612149,5009646.5,386.96
25/11/2020 15:44:28.644403,5009646.3,386.95
25/11/2020 15:44:29.676718,5009646.3,386.94
25/11/2020 15:44:30.709162,5009646.2,386.93
25/11/2020 15:44:31.740714,5009646.1,386.92
25/11/2020 15:44:32.771656,5009646.1,386.91
25/11/2020 15:44:33.802880,5009646,386.91
25/11/2020 15:44:34.835433,5009646,386.9
25/11/2020 15:44:35.867227,5009646,386.91
25/11/2020 15:44:36.899674,5009645.9,386.91
25/11/2020 15:44:37.932095,5009645.9,386.91
25/11/2020 15:44:38.963917,5009645.8,386.92
25/11/2020 15:44:39.995512,5009645.8,386.92
25/11/2020 15:44:41.26684,5009645.8,386.91
25/11/2020 15:44:42.59201,5009645.6,386.92
25/11/2020 15:44:43.91630,5009645.6,386.92
25/11/2020 15:44:44.127199,5009645.6,386.92
25/11/2020 15:44:45.159677,5009645.4,386.92
25/11/2020 15:44:46.192027,5009645.4,386.91
25/11/2020 15:44:47.224455,5009645.4,386.91
