Time,Frequency,Resistance,Anomaly
5/11/2020 16:13:6.335527,5009722,388.52,0
5/11/2020 16:13:6.708816,5009721,388.52,0
5/11/2020 16:13:7.239338,5009721,388.52,0
5/11/2020 16:13:7.441019,5009721,388.52,0
5/11/2020 16:13:7.659512,5009721,388.52,0
5/11/2020 16:13:7.844514,5009721,388.52,0
5/11/2020 16:13:8.49712,5009721,388.53,0
5/11/2020 16:13:8.248209,5009721,388.52,0
5/11/2020 16:13:8.444545,5009721,388.53,0
5/11/2020 16:13:8.641268,5009721,388.53,0
5/11/2020 16:13:8.830936,5009721,388.53,0
5/11/2020 16:13:9.20856,5009721,388.53,0
5/11/2020 16:13:9.213900,5009721,388.54,0
5/11/2020 16:13:9.410324,5009722,388.53,0
5/11/2020 16:13:9.604955,5009721,388.53,0
5/11/2020 16:13:9.808199,5009722,388.53,0
5/11/2020 16:13:10.2965,5009722,388.52,0
5/11/2020 16:13:10.199150,5009721,388.52,0
5/11/2020 16:13:10.399890,5009721,388.52,0
5/11/2020 16:13:10.600792,5009721,388.53,0
5/11/2020 16:13:10.804225,5009721,388.53,0
5/11/2020 16:13:11.2541,5009721,388.54,0
5/11/2020 16:13:11.199167,5009721,388.53,0
5/11/2020 16:13:11.397668,5009722,388.52,0
5/11/2020 16:13:11.596937,5009721,388.53,0
5/11/2020 16:13:11.804673,5009721,388.53,0
5/11/2020 16:13:12.13327,5009721,388.54,0
5/11/2020 16:13:12.212010,5009721,388.55,0
5/11/2020 16:13:12.418410,5009721,388.54,0
5/11/2020 16:13:12.617867,5009721,388.54,0
5/11/2020 16:13:12.815540,5009721,388.53,0
5/11/2020 16:13:13.30332,5009721,388.54,0
5/11/2020 16:13:13.232073,5009722,388.54,0
5/11/2020 16:13:13.439852,5009721,388.53,0
5/11/2020 16:13:13.646305,5009721,388.54,0
5/11/2020 16:13:13.856096,5009721,388.55,0
5/11/2020 16:13:14.66035,5009722,388.54,0
5/11/2020 16:13:14.272718,5009721,388.54,0
5/11/2020 16:13:14.479196,5009721,388.54,0
5/11/2020 16:13:14.686265,5009721,388.55,0
5/11/2020 16:13:14.941637,5009722,388.54,0
5/11/2020 16:13:15.151599,5009721,388.54,0
5/11/2020 16:13:15.360371,5009721,388.54,0
5/11/2020 16:13:15.571696,5009721,388.54,0
5/11/2020 16:13:15.786988,5009721,388.54,0
5/11/2020 16:13:15.995448,5009721,388.55,0
5/11/2020 16:13:16.210133,5009721,388.54,0
5/11/2020 16:13:16.426161,5009722,388.54,0
5/11/2020 16:13:16.619616,5009721,388.54,0
5/11/2020 16:13:16.811526,5009721,388.54,0
5/11/2020 16:13:17.2220,5009721,388.55,0
5/11/2020 16:13:17.193346,5009721,388.55,0
5/11/2020 16:13:17.387013,5009721,388.55,0
5/11/2020 16:13:17.579103,5009721,388.55,0
5/11/2020 16:13:17.774070,5009721,388.55,0
5/11/2020 16:13:17.968331,5009721,388.56,0
5/11/2020 16:13:18.166567,5009721,388.55,0
5/11/2020 16:13:18.363373,5009721,388.55,0
5/11/2020 16:13:18.558994,5009721,388.55,0
5/11/2020 16:13:18.752623,5009721,388.55,0
5/11/2020 16:13:18.949475,5009721,388.55,0
5/11/2020 16:13:19.144464,5009721,388.55,0
5/11/2020 16:13:19.343091,5009721,388.55,0
5/11/2020 16:13:19.539745,5009722,388.55,0
5/11/2020 16:13:19.733825,5009721,388.55,0
5/11/2020 16:13:19.929840,5009721,388.56,0
5/11/2020 16:13:20.126043,5009721,388.56,0
5/11/2020 16:13:20.321504,5009721,388.57,0
5/11/2020 16:13:20.521064,5009721,388.56,0
5/11/2020 16:13:20.714126,5009721,388.56,0
5/11/2020 16:13:20.910428,5009721,388.56,0
5/11/2020 16:13:21.106071,5009721,388.56,0
5/11/2020 16:13:21.302735,5009721,388.56,0
5/11/2020 16:13:21.500251,5009721,388.55,0
5/11/2020 16:13:21.695001,5009721,388.56,0
5/11/2020 16:13:21.905116,5009721,388.56,0
5/11/2020 16:13:22.103152,5009721,388.56,0
5/11/2020 16:13:22.320458,5009721,388.56,0
5/11/2020 16:13:22.526468,5009721,388.56,0
5/11/2020 16:13:22.735369,5009721,388.56,0
5/11/2020 16:13:22.946278,5009721,388.57,0
5/11/2020 16:13:23.143825,5009721,388.56,0
5/11/2020 16:13:23.344777,5009721,388.57,0
5/11/2020 16:13:23.544797,5009721,388.57,0
5/11/2020 16:13:23.741703,5009721,388.57,0
5/11/2020 16:13:23.942452,5009721,388.56,0
5/11/2020 16:13:24.145546,5009721,388.57,0
5/11/2020 16:13:24.345848,5009721,388.56,0
5/11/2020 16:13:24.545284,5009721,388.56,0
5/11/2020 16:13:24.742164,5009721,388.55,0
5/11/2020 16:13:24.943432,5009722,388.57,0
5/11/2020 16:13:25.175023,5009721,388.55,0
5/11/2020 16:13:25.376205,5009721,388.56,0
5/11/2020 16:13:25.581528,5009721,388.56,0
5/11/2020 16:13:25.779883,5009721,388.56,0
5/11/2020 16:13:25.980257,5009721,388.56,0
5/11/2020 16:13:26.182604,5009721,388.57,0
5/11/2020 16:13:26.385452,5009721,388.57,0
5/11/2020 16:13:26.588767,5009721,388.58,0
5/11/2020 16:13:26.789268,5009721,388.57,0
5/11/2020 16:13:26.991399,5009720,388.57,0
5/11/2020 16:13:27.191267,5009720,388.58,0
5/11/2020 16:13:27.389076,5009721,388.58,0
5/11/2020 16:13:27.587995,5009721,388.58,0
5/11/2020 16:13:27.785704,5009721,388.57,0
5/11/2020 16:13:27.979389,5009721,388.57,0
5/11/2020 16:13:28.175180,5009721,388.58,0
5/11/2020 16:13:28.389111,5009721,388.57,0
5/11/2020 16:13:28.586673,5009721,388.57,0
5/11/2020 16:13:28.783815,5009721,388.58,0
5/11/2020 16:13:28.977526,5009721,388.56,0
5/11/2020 16:13:29.174039,5009721,388.57,0
5/11/2020 16:13:29.373378,5009720,388.57,0
5/11/2020 16:13:29.571305,5009721,388.58,0
5/11/2020 16:13:29.770336,5009721,388.58,0
5/11/2020 16:13:29.966227,5009721,388.58,0
5/11/2020 16:13:30.165348,5009721,388.57,0
5/11/2020 16:13:30.363770,5009721,388.59,0
5/11/2020 16:13:30.562832,5009721,388.58,0
5/11/2020 16:13:30.760218,5009720,388.57,0
5/11/2020 16:13:30.958359,5009721,388.58,0
5/11/2020 16:13:31.158527,5009721,388.59,0
5/11/2020 16:13:31.360727,5009720,388.59,0
5/11/2020 16:13:31.562637,5009720,388.59,0
5/11/2020 16:13:31.773305,5009721,388.59,0
5/11/2020 16:13:31.976746,5009720,388.58,0
5/11/2020 16:13:32.178113,5009721,388.59,0
5/11/2020 16:13:32.381037,5009720,388.58,0
5/11/2020 16:13:32.589908,5009720,388.59,0
5/11/2020 16:13:32.795806,5009721,388.59,0
5/11/2020 16:13:33.7668,5009721,388.59,0
5/11/2020 16:13:33.207345,5009721,388.59,0
5/11/2020 16:13:33.410901,5009720,388.58,0
5/11/2020 16:13:33.612848,5009720,388.59,0
5/11/2020 16:13:33.819444,5009721,388.59,0
